Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,time
6,8,4,5,2,9,4,5,9,0.7580911355763458,2000-02-08
4,5,4,1,8,1,0,3,0,0.8594416714120079,2000-01-10
1,2,1,2,10,1,3,5,9,0.6237060322895037,2000-01-20
6,3,5,1,8,8,6,4,7,0.3575956075238621,2000-01-06
6,10,10,6,0,3,0,4,5,0.5280672012970964,2000-01-21
1,2,7,10,2,8,0,6,9,0.43396196465912806,2000-01-06
3,1,2,8,5,0,0,6,3,0.9930707218246592,2000-02-09
2,5,0,0,5,6,10,7,8,0.9568299848523283,2000-01-27
5,0,6,0,3,4,4,3,10,0.47992622165562904,2000-02-19
3,10,5,10,0,8,5,1,2,0.5114068397329862,2000-02-07
3,2,1,0,2,3,1,4,1,0.874178063029327,2000-01-18
2,2,4,6,5,4,3,10,3,0.1732021194416703,2000-01-20
2,10,4,8,1,8,5,1,6,0.16153441358769582,2000-01-15
6,9,6,4,0,8,2,8,1,0.8054402638957295,2000-01-21
4,5,2,10,3,4,8,2,5,0.32606091364705836,2000-02-10
8,8,0,0,0,8,7,10,8,0.12983600620023195,2000-01-31
5,0,5,7,3,5,6,7,9,0.09500245487345083,2000-01-06
3,5,4,3,7,10,5,1,7,0.20388600712803395,2000-02-02
6,0,0,0,0,8,4,6,8,0.5905587705610607,2000-02-19
2,4,1,5,2,7,8,8,2,0.8064026343507813,2000-02-12
2,2,1,3,2,10,2,10,10,0.13211118777243602,2000-01-11
10,8,9,10,9,10,6,2,0,0.478844803658072,2000-01-13
1,0,5,4,0,10,2,5,3,0.6064167326797364,2000-01-19
8,1,9,2,9,1,9,1,0,0.39913115465764526,2000-02-12
6,0,5,2,0,6,4,5,6,0.7944802883026483,2000-02-02
2,9,3,9,0,5,10,2,7,0.4947395712312018,2000-01-22
5,1,6,0,4,4,9,6,5,0.8949107805312223,2000-02-13
7,8,8,6,9,1,4,7,1,0.5909077403842049,2000-01-17
1,2,7,4,7,10,5,6,3,0.5393517704237465,2000-02-14
2,4,3,7,7,6,9,6,1,0.53175727428176,2000-02-15
10,1,6,5,5,0,6,7,8,0.44147513874731714,2000-01-03
9,0,8,5,9,5,3,2,6,0.12875792977002376,2000-02-14
4,4,1,4,8,6,4,7,8,0.09893130360755631,2000-02-11
8,4,5,1,5,9,3,2,7,0.6098388417311725,2000-01-15
7,7,7,4,0,8,9,8,9,0.6885112393963878,2000-02-05
5,4,7,6,7,4,4,6,9,0.1523198240434689,2000-02-16
8,5,6,6,0,10,6,5,9,0.9348586742634,2000-01-09
10,9,5,7,7,3,7,0,8,0.07057002241297217,2000-01-06
4,7,10,3,9,6,10,2,1,0.44355666165635466,2000-01-31
7,9,6,9,5,0,3,1,5,0.7870142590396585,2000-02-10
8,10,0,1,2,4,0,5,8,0.4141225946736705,2000-01-04
7,2,1,0,2,10,4,9,10,0.38157665408728525,2000-01-16
7,3,8,4,10,3,3,7,10,0.8378318251307147,2000-01-02
8,2,2,1,8,2,7,3,3,0.6087995661373866,2000-01-28
5,4,6,9,4,6,0,7,6,0.7521108884903825,2000-02-12
6,10,1,9,8,10,6,10,6,0.7978409967461895,2000-01-05
9,7,0,0,6,5,9,2,3,0.6807669207370804,2000-01-09
3,2,0,4,8,0,2,2,10,0.6167694295059207,2000-02-07
3,8,5,10,7,3,3,2,10,0.46238548673236823,2000-01-29
0,2,1,3,8,8,9,1,2,0.4399248792080671,2000-02-15
3,0,10,3,9,0,8,8,3,0.3230174671274938,2000-01-09
1,9,5,0,7,9,9,4,9,0.6510233014974397,2000-02-17
1,8,4,6,4,7,0,3,3,0.8505416193045199,2000-01-09
10,3,5,10,3,8,5,9,0,0.9790040631454238,2000-02-10
8,1,3,3,5,1,5,5,4,0.1812065018903689,2000-01-15
4,5,2,6,9,6,3,3,1,0.8929240768990797,2000-01-18
9,4,1,7,4,0,1,8,5,0.2585090877765298,2000-01-12
5,4,3,9,0,2,4,4,2,0.8188865648638094,2000-02-17
10,10,10,7,10,0,1,9,3,0.9241874985351192,2000-01-30
9,4,5,3,7,8,5,5,1,0.990242560237177,2000-02-20
4,4,8,2,1,4,8,0,6,0.677552986321061,2000-02-05
9,1,8,4,10,4,3,7,8,0.8035509146614893,2000-01-12
0,7,2,9,9,9,5,3,7,0.6832678039772897,2000-02-08
1,2,0,2,4,6,7,2,2,0.7947426134290622,2000-02-10
9,5,4,1,1,2,8,6,7,0.0631908578390189,2000-02-04
0,10,2,10,6,5,0,1,7,0.6120320102247817,2000-02-13
5,7,1,4,0,0,6,10,8,0.37072374792242735,2000-01-21
0,7,5,10,5,10,6,5,5,0.9976334849609918,2000-01-15
7,3,4,8,1,2,10,6,3,0.5498754054094261,2000-01-04
1,6,4,7,7,3,5,5,2,0.7062492904093987,2000-02-17
9,4,1,2,3,4,8,3,2,0.3392448722991137,2000-01-20
8,9,8,10,8,4,5,10,3,0.519151437099365,2000-01-05
4,1,0,0,5,1,7,0,3,0.3129424429295322,2000-02-03
8,3,0,10,2,6,10,10,10,0.2725939844291161,2000-01-25
0,8,9,7,9,2,4,2,3,0.3457719699467273,2000-02-11
6,3,10,5,9,3,0,5,2,0.6357773180328877,2000-01-27
9,10,3,6,8,6,3,8,3,0.4522178075176494,2000-01-06
9,2,6,0,2,10,5,8,1,0.41842991979571953,2000-01-23
0,0,8,1,3,3,5,6,7,0.22491567789523192,2000-02-16
4,1,5,0,10,10,4,9,0,0.0128748149975203,2000-01-12
2,3,3,4,5,9,0,4,4,0.9804622360486945,2000-01-20
2,1,2,1,7,7,7,1,10,0.8352838128470454,2000-01-05
0,7,2,6,2,1,3,3,8,0.37116167601369976,2000-01-05
9,2,8,3,0,6,1,2,9,0.3381454755461383,2000-02-09
9,7,1,3,3,7,7,3,6,0.24485723815274052,2000-01-06
5,5,8,8,0,2,2,0,0,0.06168669694539286,2000-02-14
2,2,10,9,0,7,7,9,3,0.19496663883522902,2000-01-17
6,4,10,6,8,10,7,9,7,0.6175932539424699,2000-02-17
0,5,3,4,3,9,10,5,1,0.22006688442894495,2000-02-01
10,1,8,2,7,0,3,6,8,0.20822333991798436,2000-01-16
3,7,6,5,1,6,3,7,8,0.025223139966805364,2000-01-30
0,3,4,8,6,6,5,2,2,0.167705235953574,2000-02-07
7,2,5,5,3,1,2,6,8,0.20446664191231545,2000-02-13
0,7,9,0,4,4,1,2,6,0.5900355784488549,2000-01-12
5,5,10,8,2,1,8,10,7,0.21955505084688576,2000-01-27
9,0,9,0,8,0,5,2,7,0.8121776960944805,2000-01-26
0,8,0,0,3,2,10,8,1,0.663484916808514,2000-01-10
9,7,8,8,5,6,8,10,7,0.20406329261239686,2000-02-20
3,6,2,5,9,3,4,8,6,0.7779949908900282,2000-01-27
3,1,6,9,8,7,9,1,6,0.2681179546908312,2000-02-14
9,10,1,2,9,9,1,7,4,0.9190068422338131,2000-01-16
10,8,9,1,10,5,6,1,8,0.5882430919397009,2000-01-04
0,4,3,3,9,8,3,1,8,0.08272213588517374,2000-01-02
0,10,6,6,2,4,7,7,1,0.34485883317970234,2000-02-11
1,1,6,1,9,0,6,9,6,0.826610820395338,2000-02-17
6,10,9,4,4,7,7,9,6,0.8220480956514692,2000-01-09
7,8,8,9,8,1,6,2,6,0.8813002027672812,2000-02-06
1,1,10,5,4,9,7,3,7,0.8834263104747275,2000-02-14
7,7,6,5,0,4,8,2,1,0.3309929881346849,2000-01-05
2,10,1,9,7,5,8,0,10,0.44472197981613815,2000-02-08
9,9,6,2,3,1,2,9,1,0.6488706268852322,2000-01-20
7,1,0,0,3,5,5,4,10,0.3996418661492279,2000-01-06
3,1,7,3,3,6,2,2,8,0.7574546214792377,2000-01-26
2,5,0,5,5,0,8,7,10,0.874298661848381,2000-01-05
7,7,8,10,6,10,3,2,4,0.9281324795411963,2000-02-13
2,2,6,0,6,10,3,10,6,0.0051727149652616156,2000-02-06
2,9,3,9,10,5,0,0,8,0.6378033978027272,2000-01-26
8,0,6,0,0,3,10,6,1,0.12998016565790826,2000-01-18
5,5,9,5,3,4,0,9,3,0.8966795498336734,2000-01-15
3,6,8,0,3,0,8,6,6,0.638724486746755,2000-02-04
0,2,5,1,1,7,3,7,5,0.29701814381245706,2000-01-09
6,6,0,5,5,7,4,1,1,0.6497237408467316,2000-02-12
7,5,5,8,3,4,4,8,2,0.8911705776855298,2000-01-19
3,4,6,10,7,2,0,8,2,0.3048655735197028,2000-01-20
10,5,5,9,7,1,0,2,3,0.21711855944419578,2000-01-02
6,6,3,1,2,0,4,2,7,0.594318006032596,2000-01-25
6,4,6,0,5,3,8,7,3,0.8703816616140704,2000-02-17
5,9,5,6,4,3,8,2,3,0.2662480581134745,2000-02-01
8,7,8,7,1,4,10,6,5,0.1495782998716465,2000-02-08
10,6,8,7,6,4,3,8,2,0.1249267484822496,2000-02-17
2,6,5,1,4,2,7,10,10,0.5189138145306682,2000-02-20
5,7,1,4,9,3,9,8,4,0.25011186431837995,2000-01-06
3,7,2,3,4,2,0,6,7,0.7232012195470208,2000-01-14
4,5,2,1,1,4,10,8,8,0.523607413175816,2000-01-20
1,3,8,9,7,1,1,10,2,0.9830221829267541,2000-01-13
2,10,7,4,2,4,8,4,2,0.4271801608414665,2000-02-14
1,5,3,7,8,1,0,7,1,0.08116168151195247,2000-01-31
5,7,5,8,6,6,9,0,0,0.42495521916861156,2000-02-10
3,9,2,10,0,6,0,0,6,0.8951553137870187,2000-02-12
4,1,3,4,7,0,9,6,10,0.3266998964715512,2000-01-26
4,2,0,1,6,10,6,4,2,0.40925341146177874,2000-01-25
3,2,6,8,10,7,5,1,9,0.8128533978594801,2000-02-13
1,2,5,4,5,6,9,6,5,0.8209317586825113,2000-01-30
2,8,4,7,3,10,4,2,7,0.07137304473809558,2000-01-23
4,5,7,0,9,3,9,8,7,0.9060251619971721,2000-01-31
7,9,5,0,3,2,3,1,3,0.9950200213177154,2000-01-25
3,5,9,0,6,7,5,3,8,0.9766323092012407,2000-02-01
5,0,0,2,4,9,9,0,2,0.5312479237690443,2000-02-04
1,7,2,5,0,4,4,6,8,0.8204383793536925,2000-02-11
6,1,5,9,9,3,6,6,10,0.8960080062396185,2000-02-11
7,5,7,5,5,7,0,8,10,0.7504849911977005,2000-02-15
6,8,5,9,3,9,10,9,7,0.3351085892757676,2000-01-29
1,8,3,3,4,0,7,3,8,0.2996674181288944,2000-01-17
0,10,10,7,6,3,5,8,6,0.8010050911620714,2000-01-02
6,5,9,5,1,1,4,9,9,0.332494155552709,2000-02-01
7,8,8,6,3,1,8,0,2,0.4715199845961576,2000-01-13
0,3,9,7,9,7,4,7,9,0.9432428888194493,2000-01-06
8,4,10,7,10,5,8,4,6,0.8067902360260828,2000-01-20
3,3,3,3,3,3,0,6,6,0.4321133586305146,2000-01-29
9,1,1,7,3,10,5,5,4,0.4036324877797258,2000-01-21
6,5,5,6,0,9,10,7,10,0.8620397619083466,2000-01-21
4,5,1,5,1,10,4,8,3,0.7051911021740459,2000-01-31
7,5,9,9,10,7,8,1,8,0.7605259147991805,2000-02-01
7,8,2,2,5,2,1,6,5,0.46502149755435684,2000-01-18
10,6,4,2,2,5,9,5,9,0.7842693314576588,2000-01-11
7,1,4,5,8,6,7,10,5,0.9243986444220396,2000-01-26
2,6,1,8,0,4,5,3,6,0.8742418740238562,2000-02-03
9,6,3,8,4,7,0,1,0,0.3919494733209158,2000-02-18
3,8,7,7,9,1,3,9,2,0.6175230602618167,2000-02-20
10,8,9,3,10,3,2,3,9,0.27294319103621256,2000-02-17
8,2,10,5,4,2,0,1,6,0.2818804563615459,2000-01-03
0,3,2,5,0,0,2,4,1,0.8486024255955729,2000-02-13
0,5,1,5,0,5,3,2,10,0.30376239923948045,2000-02-03
3,6,5,0,6,8,3,1,1,0.0672879227038885,2000-01-24
1,7,5,9,8,3,1,9,6,0.6907022501907932,2000-01-18
6,3,4,8,0,10,10,0,3,0.18207564679434396,2000-01-04
5,8,6,4,10,8,8,1,0,0.8377654655155881,2000-01-03
9,5,6,5,8,3,1,0,5,0.39199353689463823,2000-02-14
1,9,1,4,10,3,4,7,8,0.19707135522389252,2000-01-06
2,4,1,2,8,1,3,4,7,0.09972031192769815,2000-02-10
6,2,2,1,3,7,1,2,5,0.5229008485617177,2000-01-04
10,3,6,1,7,7,3,3,1,0.9527190153275699,2000-01-25
1,10,0,5,0,1,7,7,0,0.8353613675029675,2000-02-02
1,5,5,1,3,0,1,1,10,0.5065969998405608,2000-02-03
10,7,9,5,1,3,9,1,0,0.9561726171481004,2000-02-02
0,7,10,2,5,0,8,6,3,0.15484104339743454,2000-02-10
1,8,4,1,8,8,0,10,0,0.9242444017385621,2000-01-31
2,7,0,5,8,5,2,9,7,0.4144795395447619,2000-01-22
9,7,0,1,6,0,9,7,10,0.30210314931039584,2000-01-09
4,5,2,2,4,3,5,5,6,0.2842851239362295,2000-02-12
0,10,2,10,10,5,5,0,10,0.46829046916921724,2000-01-17
9,1,5,5,6,7,1,8,6,0.3913594261088573,2000-01-21
7,5,7,10,3,3,0,7,3,0.5033712056864451,2000-01-31
2,1,5,2,3,9,8,9,3,0.989614663164197,2000-01-25
2,2,0,7,8,2,10,0,4,0.8210187100236754,2000-01-30
0,3,5,6,3,6,0,8,7,0.21488116778283373,2000-01-06
9,1,8,1,3,10,9,9,4,0.5512663565459192,2000-02-02
6,9,9,6,5,8,3,8,5,0.5265865694263926,2000-01-21
9,0,8,3,1,8,4,1,2,0.6165734114771697,2000-01-10
5,3,3,2,8,0,8,3,8,0.3786348694528243,2000-01-06
8,10,5,6,2,2,3,0,4,0.5248145846673188,2000-01-22
4,5,3,1,2,8,8,4,1,0.5871260353990853,2000-01-21
10,0,10,10,2,1,4,2,6,0.09204144468491282,2000-02-05
8,0,9,2,5,5,5,6,3,0.24207519583043235,2000-02-14
9,6,7,2,4,2,6,10,0,0.44245195654849256,2000-01-06
1,2,6,7,4,0,1,6,3,0.7948697310564139,2000-02-17
10,8,0,8,2,5,10,5,3,0.32957740817320824,2000-02-10
5,8,1,9,8,1,1,10,8,0.9659593625806598,2000-01-25
7,8,4,1,4,8,8,0,6,0.039505226457223985,2000-02-20
5,3,4,5,0,9,2,6,8,0.46474413187459884,2000-02-11
0,0,4,1,0,2,5,9,8,0.9164758303343477,2000-01-14
9,0,7,3,7,6,7,6,10,0.47299728973357225,2000-01-25
8,3,4,3,5,4,1,7,10,0.750744441240092,2000-02-05
1,0,9,2,4,10,10,0,10,0.8329914209558796,2000-02-16
5,9,1,8,9,8,8,6,7,0.4037896026769061,2000-01-23
4,10,6,3,3,6,8,7,1,0.828324065967718,2000-01-07
0,9,5,7,3,2,8,3,1,0.41470543379749136,2000-01-18
2,6,10,3,7,2,10,7,8,0.9849955236292257,2000-01-13
2,3,6,6,9,0,3,7,3,0.6976218373017941,2000-01-28
10,6,9,7,2,7,8,4,8,0.33859534508165867,2000-01-05
4,0,2,5,1,6,7,8,1,0.9332093470897233,2000-02-11
0,6,7,7,1,4,1,7,9,0.10183479758479441,2000-01-31
8,7,7,9,10,1,9,3,8,0.12945075707778342,2000-01-08
2,3,5,2,3,6,7,0,6,0.2998993943809619,2000-02-12
1,1,3,1,10,5,0,4,3,0.3071918780599774,2000-01-17
1,0,6,6,0,4,9,6,10,0.6729382000565444,2000-01-17
7,9,10,8,10,0,10,8,2,0.3622828767542382,2000-02-15
1,1,4,4,10,3,10,6,6,0.010593938650786727,2000-02-07
10,8,7,10,3,0,6,5,0,0.95908156610368,2000-02-09
10,5,4,5,10,9,10,9,8,0.8892984491573138,2000-02-01
2,6,5,7,0,5,8,4,0,0.3677922336964575,2000-01-22
10,1,0,5,8,5,3,2,10,0.7280733523079393,2000-01-20
6,4,5,9,3,10,9,4,7,0.9557364315854943,2000-01-07
10,2,6,0,8,8,8,2,5,0.4480527729897773,2000-01-28
6,1,5,1,1,9,6,0,8,0.5881645559949632,2000-01-14
1,0,3,3,8,8,5,5,7,0.7040623616795487,2000-02-10
9,2,7,0,3,0,4,8,7,0.03567707223355476,2000-02-01
9,9,10,10,7,4,1,9,0,0.9604851191161222,2000-02-03
8,8,8,10,8,6,2,6,9,0.5262641853000563,2000-02-17
4,5,3,5,7,8,5,5,6,0.5930410268343129,2000-01-04
4,6,1,0,2,0,3,10,3,0.014561994310662407,2000-01-17
0,7,7,6,8,1,3,8,2,0.9023030059149832,2000-01-26
4,4,10,0,9,1,3,1,10,0.8564227278509049,2000-01-08
2,1,0,0,2,3,8,10,3,0.25684447279911293,2000-02-03
9,10,1,2,10,3,1,3,1,0.42822236280134474,2000-01-24
6,4,7,5,6,10,6,6,7,0.13020486216914817,2000-01-09
9,1,5,9,6,5,0,7,4,0.9995235627428388,2000-01-12
1,3,2,5,9,9,4,7,3,0.460895136945776,2000-02-14
4,2,4,5,1,8,0,0,10,0.2395105811115562,2000-02-03
4,1,10,7,5,1,10,4,10,0.7018778392927298,2000-01-16
1,3,6,9,9,1,3,7,7,0.007465734967891269,2000-01-25
9,7,9,6,5,2,9,8,3,0.2938461781152013,2000-02-11
4,9,2,9,8,4,0,8,8,0.7102559898915795,2000-02-15
2,4,1,9,10,5,4,3,4,0.13137579986036085,2000-01-10
10,5,10,6,1,2,4,5,1,0.7285407527390579,2000-02-14
10,2,7,10,6,10,7,9,7,0.06039768385994282,2000-01-31
1,5,2,7,2,0,1,8,0,0.1747578857215959,2000-02-16
3,4,5,3,0,5,0,10,2,0.853191861046308,2000-02-15
10,9,8,5,3,6,2,6,8,0.6549526592958858,2000-01-14
8,0,10,4,10,4,2,3,4,0.5560648714473969,2000-02-06
7,0,2,9,2,7,5,6,7,0.7997159639964,2000-02-08
10,3,10,4,6,7,4,10,8,0.9769847146573453,2000-02-12
6,10,1,3,3,2,5,9,0,0.4165500739750384,2000-02-03
4,3,4,0,3,10,5,10,8,0.21275215772858425,2000-01-11
10,9,5,2,4,3,0,10,4,0.5169163745941285,2000-02-15
10,7,9,2,1,6,2,9,1,0.4943413959359062,2000-01-19
5,6,10,8,0,1,10,5,7,0.35346855189221427,2000-01-24
1,3,1,4,0,7,0,2,0,0.5594840435446257,2000-02-13
10,4,6,3,8,9,2,7,0,0.6303577443610291,2000-01-18
5,3,0,2,7,10,0,1,8,0.7937844850843399,2000-02-11
5,8,5,0,8,4,10,6,1,0.5946543077539252,2000-02-17
0,2,1,3,0,6,8,10,10,0.4597364195961364,2000-02-18
0,0,0,4,3,4,2,9,3,0.5326179755879833,2000-01-04
0,5,8,2,9,2,7,0,1,0.36263783501930447,2000-02-08
9,10,7,5,10,1,7,2,2,0.570657902282425,2000-01-21
1,0,3,3,6,6,10,8,8,0.03616719439858407,2000-01-27
7,2,3,7,5,2,9,0,2,0.02591609378276949,2000-02-16
8,4,4,1,8,6,9,8,2,0.22276787357249084,2000-02-06
